Name,Country,Type,Lat,Lon,Altitude
Azufral,Colombia,Stratovolcano,1.08,-77.68,4070
"Azufre, Cerro del",Chile-N,Stratovolcano,-21.79,-68.24,5846
"Azul, Cerro",Galapagos,Shield volcano,-0.92,-91.41,1640
"Azul, Cerro",Chile-C,Stratovolcano,-35.65,-70.76,3788
"Azul, Volcan",Nicaragua,Cinder cones,12.53,-83.87,201
Azuma,Honshu-Japan,Stratovolcanoes,37.73,140.25,2035
Babuyan Claro,Luzon-N of,Stratovolcanoes,19.52,121.94,1080
Bachelor,US-Oregon,Stratovolcano,43.98,-121.69,2763
Bagana,Bougainville-SW Pacific,Lava cone,-6.14,155.2,1750
Bakening,Kamchatka,Stratovolcano,53.91,158.07,2278
Baker,US-Washington,Stratovolcanoes,48.78,-121.81,3285
"Bal Haf, Harra of",Arabia-S,Volcanic field,14.05,48.33,233
Balatukan,Mindanao-Philippines,Compound volcano,8.77,124.98,2450
Balbi,Bougainville-SW Pacific,Stratovolcano,-5.92,154.98,2715
Bald Knoll,US-Utah,Cinder cones,37.33,-112.41,2135
Baluan,Admiralty Is-SW Pacific,Stratovolcano,-2.57,147.28,254
Baluran,Java,Stratovolcano,-7.85,114.37,1247
Balut,Mindanao-Philippines,Stratovolcano,5.4,125.38,862
Bam,New Guinea-NE of,Stratovolcano,-3.61,144.82,685
Bamus,New Britain-SW Pac,Stratovolcano,-5.2,151.23,2248
Banahaw,Luzon-Philippines,Complex volcano,14.07,121.48,2158
Banda Api,Banda Sea,Caldera,-4.53,129.87,640
Bandai,Honshu-Japan,Stratovolcano,37.6,140.08,1819
Banua Wuhu,Sangihe Is-Indonesia,Submarine volcano,3.14,125.49,-5
Baransky,Kuril Is,Stratovolcano,45.1,148.02,1132
Borcena,Mexico-Is,Cinder cones,19.3,-110.82,332
Bordarbunga,Iceland-NE,Stratovolcano,64.63,-17.53,2000
Barkhatnaya Sopka,Kamchatka,Lava domes,52.82,158.27,870
Barren Island,Andaman Is-Indian O,Stratovolcano,12.28,93.86,354
"Barrier, The",Africa-E,Shield volcano,2.32,36.57,1032
Bar,Panama,Stratovolcano,8.81,-82.54,3474
Barva,Costa Rica,Complex volcano,10.14,-84.1,2906
Bas Dong Nai,SE Asia,Volcanic field,10.8,107.2,392
Batur,Lesser Sunda Is,Caldera,-8.24,115.38,1717
"Bayo, Cerro",Chile-N,Complex volcano,-25.42,-68.58,5401
Bayonnaise Rocks,Izu Is-Japan,Submarine volcano,31.88,139.92,11
Bayuda Volc Field,Africa-N,Cinder cones,18.33,32.75,670
Bazman,Iran,Stratovolcano,28.07,60,3490
Beerenberg,Atlantic-N-Jan Mayen,Stratovolcano,71.08,-8.17,2277
Behm Canal-Rudyerd Bay,Alaska-E,Cinder cones,55.32,-131.05,500
Belenkaya,Kamchatka,Stratovolcano,51.75,157.27,892
Belirang-Beriti,Sumatra,Compound volcano,-2.82,102.18,1958
Belknap,US-Oregon,Shield volcanoes,44.29,-121.84,2095
Bely,Kamchatka,Shield volcanoes,57.88,160.53,2080
Berlin,Antarctica,Shield volcanoes,-76.05,-136,3478
Beru,Ethiopia,Volcanic field,8.95,39.75,1100
Berutarube,Kuril Is,Stratovolcano,44.46,146.94,1221
Besar,Sumatra,Stratovolcano ?,-4.43,103.67,1899
Bezymianny,Kamchatka,Stratovolcano,55.98,160.59,2882
Bibinoi,Halmahera-Indonesia,Stratovolcanoes,-0.77,127.72,900
Bilate River Field,Ethiopia,Maars,7.07,38.1,1700
Biliran,Philippines-C,Compound volcano,11.52,124.54,1301
Billy Mitchell,Bougainville-SW Pacific,Pyroclastic shield,-6.09,155.23,1544
Bir Borhut,Arabia-S,Volcanic field,15.55,50.63,
"Birk, Harrat al",Arabia-W,Volcanic field,18.37,41.63,381
Bishoftu Volc Field,Ethiopia,Fissure vents,8.78,38.98,1850
Biu Plateau,Africa-W,Volcanic field,10.75,12,
Black Peak,Alaska Peninsula,Stratovolcano,56.55,-158.79,1032
Black Rock Desert,US-Utah,Volcanic field,38.97,-112.5,1800
"Blancas, Lomas",Chile-C,Stratovolcano,-36.29,-71.01,2268
Bliznets,Kamchatka,Stratovolcano,56.97,159.78,1244
Bliznetsy,Kamchatka,Lava cone,57.35,161.37,265
Blue Lake Crater,US-Oregon,Maar,44.41,-121.77,1230
Blup Blup,New Guinea-NE of,Stratovolcano,-3.51,144.61,402
Bobrof,Aleutian Is,Stratovolcano,51.91,-177.44,738
Bogatyr Ridge,Kuril Is,Stratovolcano,44.83,147.34,1634
Bogoslof,Aleutian Is,Submarine volcano,53.93,-168.03,150
Boisa,New Guinea-NE of,Stratovolcano,-3.99,144.96,240
Bola,New Britain-SW Pac,Stratovolcano,-5.15,150.03,1155
Bolshe-Bannaya,Kamchatka,Lava domes,52.9,157.78,1200
Bolshoi Payalpan,Kamchatka,Shield volcanoes,55.88,157.78,1906
Bolshoi Semiachik,Kamchatka,Stratovolcanoes,54.32,160.02,1720
Bolshoi-Kekuknaysky,Kamchatka,Shield volcanoes,56.47,157.8,1401
Bombalai,Borneo,Pyroclastic cone,4.4,117.88,531
Boomerang Seamount,Indian O.-S,Submarine volcano,-37.72,77.83,-650
Bora-Bericcio,Ethiopia,Pumice cones,8.27,39.03,2285
Borale Ale,Ethiopia,Stratovolcano,13.73,40.6,668
Borawli,Ethiopia,Stratovolcano,13.3,40.98,812
Borawli,Ethiopia,Lava domes,11.63,41.45,875
Boset-Bericha,Ethiopia,Stratovolcanoes,8.56,39.48,2447
Bouvet,Atlantic-S,Shield volcano,-54.42,3.35,780
Bratan,Lesser Sunda Is,Caldera,-8.28,115.13,2276
Brava,Cape Verde Is,Stratovolcano,14.85,-24.72,900
"Bravo, Cerro",Colombia,Stratovolcano,5.09,-75.3,4000
Brennisteinsfjoll,Iceland-SW,Crater rows,63.92,-21.83,626
Bridge River Cones,Canada,Volcanic field,50.8,-123.4,2500
Bridgeman Island,Antarctica,Stratovolcano,-62.05,-56.75,240
Bristol Island,Antarctica,Stratovolcano,-59.03,-26.58,1100
Brothers,New Zealand,Submarine volcano,-34.88,179.08,-1350
Brushy Butte,US-California,Shield volcano,41.18,-121.44,1174
Buckle Island,Antarctica,Stratovolcano,-66.78,163.25,1239
Bufumbira,Africa-C,Cinder cones,-1.23,29.72,2440
Buldir,Aleutian Is,Stratovolcano,52.35,175.91,656
Bulusan,Luzon-Philippines,Stratovolcanoes,12.77,124.05,1565
Bunyaruguru Field,Africa-C,Maars,-0.2,30.08,1554
"Burney, Monte",Chile-S,Stratovolcano,-52.33,-73.4,1758
Bus-Obo,Mongolia,Cinder cone,47.12,109.08,1162
Butajiri-Silti Field,Ethiopia,Fissure vents,8.05,38.35,2281
Buzzard Creek,Alaska-E,Tuff rings,64.07,-148.42,830
Cabal,Philippines-C,Stratovolcano,10.29,125.22,945
Caburgua-Huelemolle,Chile-C,Cinder cones,-39.25,-71.7,1496
Cagua,Luzon-Philippines,Stratovolcano,18.22,122.12,1133
Caichinque,Chile-N,Stratovolcanoes,-23.95,-67.73,4450
Calabozos,Chile-C,Caldera,-35.56,-70.5,3508
Calatrava Volc Field,Spain,Pyroclastic cones,38.87,-4.02,1117
Calbuco,Chile-S,Stratovolcano,-41.33,-72.61,2003
Callaqui,Chile-C,Stratovolcano,-37.92,-71.45,3164
Cameroon,Africa-W,Stratovolcano,4.2,9.17,4095
Camiguin,Mindanao-Philippines,Stratovolcanoes,9.2,124.67,1552
Camiguin de Babuyanes,Luzon-N of,Stratovolcano,18.83,121.86,712
Campi Flegrei,Italy,Caldera,40.83,14.14,458
Campi Flegrei Mar Sicilia,Italy,Submarine volcanoes,37.1,12.7,-8
Candlemas Island,Antarctica,Stratovolcano,-57.08,-26.67,550
Canlaon,Philippines-C,Stratovolcano,10.41,123.13,2435
Capulin Mountain,US-New Mexico,Cinder cones,36.4,-104.1,2494
Carlisle,Aleutian Is,Stratovolcano,52.89,-170.05,1620
Carran-Los Venados,Chile-C,Pyroclastic cones,-40.35,-72.07,1114
Carrizozo,US-New Mexico,Cinder cones,33.78,-105.93,1731
"Casiri, Nevados",Peru,Stratovolcanoes,-17.47,-69.81,5650
Cay,Chile-S,Stratovolcano,-45.06,-72.98,2090
Cayambe,Ecuador,Compound volcano,0.03,-77.99,5790
Cayutu -La Viguer a,Chile-S,Pyroclastic cones,-41.25,-72.27,506
Ceboruco,Mexico,Stratovolcano,21.13,-104.51,2280
"Cendres, Ile des",SE Asia,Submarine volcanoes,10.16,109.01,-20
Central Island,Africa-E,Tuff cones,3.5,36.04,550
Cereme,Java,Stratovolcano,-6.89,108.4,3078
Chacana,Ecuador,Caldera,-0.38,-78.25,4643
"Chachani, Nevado",Peru,Stratovolcano,-16.19,-71.53,6057
Chagulak,Aleutian Is,Stratovolcano,52.58,-171.13,1142
Cha ne des Puys,France,Cinder cones,45.78,2.97,1464
Chait n,Chile-S,Caldera,-42.83,-72.65,1122
Changbaishan,China-E,Stratovolcano,41.98,128.08,2744
Cherny,Kamchatka,Stratovolcano,56.82,159.67,1778
Cherpuk Group,Kamchatka,Pyroclastic cones,55.55,157.47,1868
Chichinautzin,Mexico,Volcanic field,19.08,-99.13,3930
"Chich n, El",Mexico,Lava domes,17.36,-93.23,1150
Chiginagak,Alaska Peninsula,Stratovolcano,57.14,-156.99,2221
Chikurachki,Kuril Is,Stratovolcanoes,50.33,155.46,1816
Chiliques,Chile-N,Stratovolcano,-23.58,-67.7,5778
"Chill n, Nevados de",Chile-C,Stratovolcano,-36.86,-71.38,3212
Chimborazo,Ecuador,Stratovolcano,-1.46,-78.82,6310
Chinameca,El Salvador,Stratovolcano,13.48,-88.33,1300
Chingo,Guatemala,Stratovolcano,14.12,-89.73,1775
Chiquimula Volc Field,Guatemala,Cinder cones,14.83,-89.55,1192
Chiracha,Ethiopia,Stratovolcano,6.65,38.12,1650
Chirinkotan,Kuril Is,Stratovolcano,48.98,153.48,724
Chirip,Kuril Is,Stratovolcanoes,45.34,147.93,1587
Chirpoi,Kuril Is,Caldera,46.53,150.88,742
Chokai,Honshu-Japan,Stratovolcanoes,39.1,140.05,2233
Ch'uga-ryong,Korea,Shield volcano,38.33,127.33,452
Churchill,Alaska-E,Stratovolcano,61.38,-141.75,5005
Chyulu Hills,Africa-E,Volcanic field,-2.68,37.88,2188
"Ciguatepe, Cerro el",Nicaragua,Stratovolcano,12.53,-86.14,603
Cinnamon Butte,US-Oregon,Cinder cones,43.24,-122.11,1956
"Cinotepeque, Cerro",El Salvador,Volcanic field,14.02,-89.25,665
Clark,New Zealand,Submarine volcano,-36.45,177.84,-860
Clear Lake,US-California,Volcanic field,38.97,-122.77,1439
Cleft Segment,Pacific-NE,Submarine volcano,44.83,-130.3,-2140
Cleveland,Aleutian Is,Stratovolcano,52.83,-169.94,1730
Coatepeque Caldera,El Salvador,Caldera,13.87,-89.55,746
CoAxial Segment,Pacific-NE,Submarine volcano,46.52,-129.58,-2400
Cobb Segment,Pacific-NE,Submarine volcano,46.88,-129.33,-2100
Cochiquito Volc Group,Argentina,Stratovolcanoes,-36.77,-69.82,1435
"Cochons, Ile aux",Indian O.-S,Stratovolcano,-46.1,50.23,775
Cofre de Perote,Mexico,Shield volcanoes,19.49,-97.15,4282
Colachi,Chile-N,Stratovolcano,-23.24,-67.65,5631
Coleman Seamount,Solomon Is-SW Pacific,Submarine volcano,-8.83,157.17,
Colima,Mexico,Stratovolcanoes,19.51,-103.62,3850
Colo [Una Una],Sulawesi-Indonesia,Stratovolcano,-0.17,121.61,507
Columbia River Flood Basalts,US-Multiple States,Flood Basalt,,,
Comond -La Pur sima,Mexico,Volcanic field,26,-111.92,780
Concepci n,Nicaragua,Stratovolcano,11.54,-85.62,1700
Conchagua,El Salvador,Stratovolcano,13.28,-87.85,1225
Conchag ita,El Salvador,Stratovolcano,13.23,-87.77,505
"C ndor, Cerro el",Argentina,Stratovolcano,-26.62,-68.35,6532
Copahue,Chile-C,Stratovolcano,-37.85,-71.17,2997
Copiap ,Chile-N,Stratovolcano,-27.3,-69.13,6052
Corbetti Caldera,Ethiopia,Caldera,7.18,38.43,2320
Corcovado,Chile-S,Stratovolcano,-43.18,-72.8,2300
Cordon de Puntas Negras,Chile-N,Stratovolcanoes,-23.74,-67.53,5852
Cordon del Azufre,Chile-N,Complex volcano,-25.33,-68.52,5463
Coronado,Mexico,Stratovolcano,29.08,-113.51,440
Coropuna,Peru,Stratovolcano,-15.52,-72.65,6377
Corvo,Azores,Stratovolcano,39.7,-31.11,718
Cosiguina,Nicaragua,Stratovolcano,12.98,-87.57,872
Coso Volc Field,US-California,Lava domes,36.03,-117.82,2400
Cotopaxi,Ecuador,Stratovolcano,-0.68,-78.44,5911
Crater Basalt Volc Field,Chile-S/Argentina,Cinder cones,-42.02,-70.18,1359
Crater Lake,US-Oregon,Caldera,42.93,-122.12,2487
Crater Mountain,New Guinea,Stratovolcano,-6.58,145.08,3233
Craters of the Moon,US-Idaho,Cinder cones,43.42,-113.5,2005
Crow Lagoon,Canada,Pyroclastic cone,54.7,-130.23,335
Cuernos de Negros,Philippines-C,Complex volcano,9.25,123.17,1862
Cuernos del Diablo,Chile-S,Stratovolcano,-41.4,-72,1862
Cuicocha,Ecuador,Caldera,0.31,-78.36,3246
Cuilapa-Barbarena,Guatemala,Volcanic field,14.33,-90.4,1454
C -Lao R  Group,SE Asia,Volcanic field,15.38,109.12,181
Cumbal,Colombia,Stratovolcano,0.95,-77.87,4764
"Cumbres, Las",Mexico,Stratovolcano,19.15,-97.27,3940
Curacoa,Tonga-SW Pacific,Submarine volcano,-15.62,-173.67,-33
Curtis Island,Kermadec Is,Submarine volcano,-30.54,-178.56,137
Dabbahu,Ethiopia,Stratovolcano,12.6,40.48,1442
Dabbayra,Ethiopia,Shield volcano,12.38,40.07,1302
Dacht-i-Navar Group,Afghanistan,Lava domes,33.95,67.92,3800
Daikoku,Volcano Is-Japan,Submarine volcano,21.32,144.19,-323
Daisetsu,Hokkaido-Japan,Stratovolcanoes,43.66,142.86,2290
Dakataua,New Britain-SW Pac,Caldera,-5.06,150.11,400
Dalaffilla,Ethiopia,Stratovolcano,13.79,40.55,613
Dallol,Ethiopia,Explosion craters,14.24,40.3,-48
Dama Ali,Ethiopia,Shield volcano,11.28,41.63,1068
Damavand,Iran,Stratovolcano,35.95,52.11,5670
Dana,Alaska Peninsula,Stratovolcano,55.64,-161.21,1354
Dar-Alages,Armenia,Pyroclastic cones,39.7,45.54,3329
Dariganga Volc Field,Mongolia,Cinder cones,45.33,114,1778
Darwin,Gal pagos,Shield volcano,-0.18,-91.28,1330
"Daun, Bukit",Sumatra,Stratovolcanoes,-3.38,102.37,2467
Davidof,Aleutian Is,Stratovolcano,51.97,178.33,328
Davis Lake,US-Oregon,Volcanic field,43.57,-121.82,2163
Dawson Strait Group,D'Entrecasteaux Is,Volcanic field,-9.62,150.88,500
Deccan Traps,India,Flood Basalts,,,
Deception Island,Antarctica,Caldera,-62.97,-60.65,576
Demon,Kuril Is,Stratovolcano,45.5,148.85,1205
Dempo,Sumatra,Stratovolcano,-4.03,103.13,3173
Denison,Alaska Peninsula,Stratovolcano,58.42,-154.45,2287
Descabezado Grande,Chile-C,Stratovolcanoes,-35.58,-70.75,3953
Devils Garden,US-Oregon,Volcanic field,43.51,-120.86,1698
Devils Tower,US-Wyoming,Volcanic Landform,44.6,-104.7,1558
"Dhamar, Harras of",Arabia-S,Volcanic field,14.57,44.67,3500
"Diables, Morne aux",W Indies,Stratovolcano,15.61,-61.43,861
"Diablotins, Morne",W Indies,Stratovolcano,15.5,-61.4,1430
Diamond Craters,US-Oregon,Volcanic field,43.1,-118.75,1435
Didicas,Luzon-N of,Compound volcano,19.08,122.2,228
Dieng Volc Complex,Java,Complex volcano,-7.2,109.92,2565
Diky Greben,Kamchatka,Lava domes,51.45,156.97,1070
Dofen,Ethiopia,Stratovolcano,9.35,40.13,1151
Doma Peaks,New Guinea,Stratovolcano,-5.9,143.15,3568
Domuyo,Argentina,Stratovolcano,-36.58,-70.42,4709
Don Joao de Castro Bank,Azores,Submarine volcano,38.23,-26.63,-13
Do a Juana,Colombia,Stratovolcano,1.47,-76.92,4150
Dotsero,US-Colorado,Maar,39.66,-107.04,2230
Douglas,Alaska Peninsula,Stratovolcano,58.86,-153.54,2140
Doyo Seamount,Izu Is-Japan,Submarine volcano,27.68,140.8,-860
"Druze, Jabal ad",Syria,Volcanic field,32.66,36.43,1803
Dubbi,Ethiopia,Stratovolcano,13.58,41.81,1625
Dukono,Halmahera-Indonesia,Complex volcano,1.68,127.88,1335
Duncan Canal,Alaska-E,Volcanic field,56.5,-133.1,15
Durango Volc Field,Mexico,Cinder cones,24.15,-104.45,2075
Dutton,Alaska Peninsula,Stratovolcano,55.17,-162.27,1506
Dzenzursky,Kamchatka,Compound volcano,53.64,158.92,2285
Eagle Lake Field,US-California,Fissure vents,40.63,-120.83,1652
East Diamante,Mariana Is-C Pacific,Submarine volcano,15.93,145.67,-127
East Zway,Ethiopia,Fissure vents,7.95,38.93,1889
Easter Island,Chile-Is,Shield volcanoes,-27.15,-109.38,511
Eastern Gemini Seamount,SW Pacific,Submarine volcano,-20.98,170.28,-80
Ebeko,Kuril Is,Somma volcano,50.68,156.02,1156
Ebulobo,Lesser Sunda Is,Stratovolcano,-8.82,121.18,2124
"Eburru, Ol Doinyo",Africa-E,Complex volcano,-0.65,36.22,2856
Ecuador,Gal pagos,Shield volcano,-0.02,-91.55,790
Edgecumbe,Alaska-E,Stratovolcanoes,57.05,-135.75,970
Edziza,Canada,Stratovolcano,57.72,-130.63,2786
Eggella,Kamchatka,Shield volcano,56.57,158.52,1046
Egmont [Taranaki],New Zealand,Stratovolcano,-39.3,174.07,2518
Egon,Lesser Sunda Is,Stratovolcano,-8.67,122.45,1703
Ekarma,Kuril Is,Stratovolcano,48.96,153.93,1170
Elbrus,Russia-SW,Stratovolcano,43.33,42.45,5633
Elmenteita Badlands,Africa-E,Pyroclastic cones,-0.52,36.27,2126
Elovsky,Kamchatka,Shield volcanoes,57.55,160.53,1381
Emmons Lake,Alaska Peninsula,Caldera,55.34,-162.08,1436
Emperor of China,Banda Sea,Submarine volcano ?,-6.62,124.22,-2850
Emuruangogolak,Africa-E,Shield volcano,1.5,36.33,1328
Endeavour Ridge,Pacific-NE,Submarine volcano,47.95,-129.1,-2050
Epi,Vanuatu-SW Pacific,Stratovolcanoes,-16.68,168.37,833
Erciyes Dagi,Turkey,Stratovolcano,38.52,35.48,3916
Erebus,Antarctica,Stratovolcano,-77.53,167.17,3794
Erta Ale,Ethiopia,Shield volcano,13.6,40.67,613
Es Safa,Syria,Volcanic field,33.25,37.07,979
E-san,Hokkaido-Japan,Stratovolcano,41.8,141.17,618
Escanaba Segment,Pacific-NE,Submarine volcano,40.98,-127.5,-1700
"Escorial, Cerro",Chile-N,Stratovolcano,-25.08,-68.37,5447
Esjufj ll,Iceland-SE,Stratovolcano,64.27,-16.65,1760
Esmeralda Bank,Mariana Is-C Pacific,Submarine volcano,15,145.25,-43
"Est, Ile de l'",Indian O.-S,Stratovolcano,-46.43,52.2,1090
Estel ,Nicaragua,Fissure vents,13.17,-86.4,899
Etna,Italy,Stratovolcanoes,37.73,15,3330
Eyjafj ll,Iceland-S,Stratovolcano,63.63,-19.62,1666
Falcon Island,Tonga-SW Pacific,Submarine volcano,-20.32,-175.42,-17
Falso Azufre,Chile-N,Complex volcano,-26.8,-68.37,5890
Farallon de Pajaros,Mariana Is-C Pacific,Stratovolcano,20.54,144.9,360
Fayal,Azores,Stratovolcano,38.6,-28.73,1043
Fedotych,Kamchatka,Shield volcano,57.13,160.4,965
Fentale,Ethiopia,Stratovolcano,8.98,39.93,2007
Fernandina,Gal pagos,Shield volcano,-0.37,-91.55,1476
Fisher,Aleutian Is,Stratovolcano,54.65,-164.43,1112
Flores,Guatemala,Volcanic field,14.31,-89.99,1600
Flores,Azores,Stratovolcanoes,39.46,-31.22,914
Fogo,Cape Verde Is,Stratovolcano,14.95,-24.35,2829
Fonualei,Tonga-SW Pacific,Stratovolcano,-18.02,-174.33,180
Forecast Seamount,Mariana Is-C Pacific,Submarine volcano,13.4,143.92,
Fort Portal Field,Africa-C,Tuff cones,0.7,30.25,1524
Fort Rock,US-Oregon,Tuff cones,43.3,-121,1716
Fort Selkirk,Canada,Volcanic field,62.93,-137.38,1239
Four Craters Lava Field,US-Oregon,Volcanic field,43.36,-120.67,1501
"Fournaise, Piton de la",Indian O.-W,Shield volcano,-21.23,55.71,2632
Fourpeaked,Alaska Peninsula,Stratovolcano,58.77,-153.67,2105
Fremrinamur,Iceland-NE,Stratovolcano,65.43,-16.65,939
Frosty,Alaska Peninsula,Stratovolcanoes,55.08,-162.81,2012
Fuego,Guatemala,Stratovolcano,14.47,-90.88,3763
Fueguino,Chile-S,Lava domes,-54.95,-70.25,150
Fuerteventura,Canary Is,Fissure vents,28.36,-14.02,529
Fuji,Honshu-Japan,Stratovolcano,35.36,138.73,3776
